,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,filter_level,lang,timestamp_ms,display_text_range,extended_entities,possibly_sensitive,extended_tweet,quoted_status_id,quoted_status_id_str,quoted_status,quoted_status_permalink
0,Mon Mar 21 11:07:05 +0000 2022,1505863560248897537,1505863560248897537,Eu to morto feat enterrado,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"{'id': 1177376602541494273, 'id_str': '1177376602541494273', 'name': '~Piva🧙🏼\u200d♂️~', 'screen_name': 'ePiva_', 'location': 'Bang Na, Bangkok', 'url': 'http://Google.com', 'description': 'Vivendo de absinto e controlando chakras', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 238, 'friends_count': 232, 'listed_count': 0, 'favourites_count': 11314, 'statuses_count': 7548, 'created_at': 'Fri Sep 27 00:17:25 +0000 2019', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1382730873573888004/19al_hE8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1382730873573888004/19al_hE8_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1177376602541494273/1640276330', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': 'bacb72e48bb40ebe', 'url': 'https://api.twitter.com/1.1/geo/id/bacb72e48bb40ebe.json', 'place_type': 'city', 'name': 'Caxias do Sul', 'full_name': 'Caxias do Sul, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-51.288015, -29.343064], [-51.288015, -28.794184], [-50.782039, -28.794184], [-50.782039, -29.343064]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",False,False,low,pt,1647860825012,,,,,,,,
1,Mon Mar 21 11:07:05 +0000 2022,1505863563885359106,1505863563885359106,@MichaelCareli @SkillsLevel 🥰 o maior desafio sem dúvida foi subir na rampa 🤣,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,1505846312507527174,1505846312507527174,194448167,194448167,MichaelCareli,"{'id': 56113621, 'id_str': '56113621', 'name': 'Letícia Santana 🆘', 'screen_name': 'Santanadelira', 'location': 'Indaiatuba, Brasil', 'url': 'https://www.linkedin.com/profile/preview?vpa=pub&locale=pt_BR', 'description': '“A flor que desabrocha na diversidade, é a mais rara e bela de todas” - Mulan 🌸', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 586, 'friends_count': 523, 'listed_count': 5, 'favourites_count': 565, 'statuses_count': 85072, 'created_at': 'Sun Jul 12 15:22:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1350756439673995266/S6IdNy0A_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1350756439673995266/S6IdNy0A_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56113621/1586808539', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '916bb5de8c23c9ab', 'url': 'https://api.twitter.com/1.1/geo/id/916bb5de8c23c9ab.json', 'place_type': 'city', 'name': 'Indaiatuba', 'full_name': 'Indaiatuba, Brasil', 'country_code': 'BR', 'country': 'Brazil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-47.304806, -23.225], [-47.304806, -22.998369], [-47.084602, -22.998369], [-47.084602, -23.225]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'MichaelCareli', 'name': 'Michael Careli', 'id': 194448167, 'id_str': '194448167', 'indices': [0, 14]}, {'screen_name': 'SkillsLevel', 'name': 'Next Level Skills', 'id': 1464777446146904067, 'id_str': '1464777446146904067', 'indices': [15, 27]}], 'symbols': []}",False,False,low,pt,1647860825879,"[28, 77]",,,,,,,
2,Mon Mar 21 11:07:06 +0000 2022,1505863565957287937,1505863565957287937,#FelizAniversarioBolsonaro  que Deus abençoe imensamente sua vida. https://t.co/DMXAQGC0b9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"{'id': 1358050249001025544, 'id_str': '1358050249001025544', 'name': 'Willian Mendes', 'screen_name': 'Willian84056843', 'location': 'São Luís, Brasil', 'url': None, 'description': 'Entrego, confio, aceito e agradeço 🙏🏻 / Patriota - Conservador - ➡️ 🇧🇷😎🇧🇷😎', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 39, 'friends_count': 54, 'listed_count': 0, 'favourites_count': 3470, 'statuses_count': 298, 'created_at': 'Sat Feb 06 13:49:59 +0000 2021', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1358050496758640645/-2m-CY3V_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1358050496758640645/-2m-CY3V_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1358050249001025544/1646310192', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '4c17fd7b00fa6acd', 'url': 'https://api.twitter.com/1.1/geo/id/4c17fd7b00fa6acd.json', 'place_type': 'city', 'name': 'São José de Ribamar', 'full_name': 'São José de Ribamar, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-44.216225, -2.730721], [-44.216225, -2.460666], [-43.901928, -2.460666], [-43.901928, -2.730721]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [{'text': 'FelizAniversarioBolsonaro', 'indices': [0, 26]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1505863563499421699, 'id_str': '1505863563499421699', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/FOXm7r6WQAMoNUo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FOXm7r6WQAMoNUo.jpg', 'url': 'https://t.co/DMXAQGC0b9', 'display_url': 'pic.twitter.com/DMXAQGC0b9', 'expanded_url': 'https://twitter.com/Willian84056843/status/1505863565957287937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 828, 'h': 823, 'resize': 'fit'}, 'small': {'w': 680, 'h': 676, 'resize': 'fit'}, 'large': {'w': 828, 'h': 823, 'resize': 'fit'}}}]}",False,False,low,pt,1647860826373,"[0, 66]","{'media': [{'id': 1505863563499421699, 'id_str': '1505863563499421699', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/FOXm7r6WQAMoNUo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FOXm7r6WQAMoNUo.jpg', 'url': 'https://t.co/DMXAQGC0b9', 'display_url': 'pic.twitter.com/DMXAQGC0b9', 'expanded_url': 'https://twitter.com/Willian84056843/status/1505863565957287937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 828, 'h': 823, 'resize': 'fit'}, 'small': {'w': 680, 'h': 676, 'resize': 'fit'}, 'large': {'w': 828, 'h': 823, 'resize': 'fit'}}}]}",False,,,,,
3,Mon Mar 21 11:07:08 +0000 2022,1505863574786293761,1505863574786293761,@JornalGGN Empregadoras.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,1505863470864031746,1505863470864031746,778721420738125824,778721420738125824,luisandrefq_,"{'id': 778721420738125824, 'id_str': '778721420738125824', 'name': 'Luís André1️⃣3️⃣ #Lula2022', 'screen_name': 'luisandrefq_', 'location': 'João Pessoa, Brasil', 'url': 'https://twitter.com/luisandrefq_', 'description': 'Vacinado contra a covid-19 com as três doses e contra Bozzo e seus Bozzonazzis!\n\nO caminho é sempre pela esquerda.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 8755, 'friends_count': 8442, 'listed_count': 12, 'favourites_count': 203487, 'statuses_count': 70024, 'created_at': 'Wed Sep 21 22:23:49 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1462188464372436997/4AduE19p_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1462188464372436997/4AduE19p_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/778721420738125824/1637447930', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': 'c9f2f46c0d1b963d', 'url': 'https://api.twitter.com/1.1/geo/id/c9f2f46c0d1b963d.json', 'place_type': 'city', 'name': 'João Pessoa', 'full_name': 'João Pessoa, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-34.973835, -7.243257], [-34.973835, -7.055696], [-34.792907, -7.055696], [-34.792907, -7.243257]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'JornalGGN', 'name': 'JornalGGN', 'id': 1347385232, 'id_str': '1347385232', 'indices': [0, 10]}], 'symbols': []}",False,False,low,es,1647860828478,"[11, 24]",,,,,,,
4,Mon Mar 21 11:07:08 +0000 2022,1505863575314878467,1505863575314878467,Bommmm dia!,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"{'id': 227899730, 'id_str': '227899730', 'name': 'Tatyelli Sikorski', 'screen_name': 'TatySikorski', 'location': 'Curitiba, Brasil', 'url': None, 'description': 'professora e coxa branca 🇳🇬', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 91, 'friends_count': 76, 'listed_count': 2, 'favourites_count': 463, 'statuses_count': 1534, 'created_at': 'Sat Dec 18 04:05:18 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '4A913C', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1496997014118309889/EM9sNkQj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1496997014118309889/EM9sNkQj_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/227899730/1607649274', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '6d5542f8d837770d', 'url': 'https://api.twitter.com/1.1/geo/id/6d5542f8d837770d.json', 'place_type': 'city', 'name': 'Curitiba', 'full_name': 'Curitiba, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-49.391643, -25.644752], [-49.391643, -25.345747], [-49.185278, -25.345747], [-49.185278, -25.644752]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",False,False,low,pt,1647860828604,,,,,,,,
5,Mon Mar 21 11:07:08 +0000 2022,1505863575948124165,1505863575948124165,@Amantedoscasais Dlc de mulher  gostosa 😋 😋,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,1505853298993250309,1505853298993250309,1252695664389230594,1252695664389230594,Amantedoscasais,"{'id': 1497625102132858889, 'id_str': '1497625102132858889', 'name': 'Mendez Silva', 'screen_name': 'mendezsilva78', 'location': None, 'url': None, 'description': '🔞🔞🔞', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 17, 'friends_count': 317, 'listed_count': 0, 'favourites_count': 222, 'statuses_count': 26, 'created_at': 'Sat Feb 26 17:30:43 +0000 2022', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1501667234082607107/OnHa8ig1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1501667234082607107/OnHa8ig1_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': 'a6d4c08a1f2f65e7', 'url': 'https://api.twitter.com/1.1/geo/id/a6d4c08a1f2f65e7.json', 'place_type': 'city', 'name': 'Paraisópolis', 'full_name': 'Paraisópolis, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-45.96382, -22.695552], [-45.96382, -22.465991], [-45.678738, -22.465991], [-45.678738, -22.695552]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Amantedoscasais', 'name': 'Amante dos casais ➐', 'id': 1252695664389230594, 'id_str': '1252695664389230594', 'indices': [0, 16]}], 'symbols': []}",False,False,low,pt,1647860828755,"[17, 43]",,,,,,,
6,Mon Mar 21 11:07:09 +0000 2022,1505863578716413955,1505863578716413955,já perdi muita oportunidades de viver coisas legais por não me permitir…. agora eu olho pra situações e penso: vamo… https://t.co/mv5oBC7MBq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,,,,,,"{'id': 1284481224992600069, 'id_str': '1284481224992600069', 'name': 'WA 0.1🥇👑', 'screen_name': 'Wesllenwa', 'location': None, 'url': None, 'description': 'Nem sempre volta, aquilo que vai. __ 🥀 temporais são temporários..🎭 fé pra tudo!', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 79, 'friends_count': 52, 'listed_count': 0, 'favourites_count': 329, 'statuses_count': 1428, 'created_at': 'Sat Jul 18 13:32:55 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1505863236352102400/fvuUYaF4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1505863236352102400/fvuUYaF4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1284481224992600069/1599435923', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '2ae8319c316c6462', 'url': 'https://api.twitter.com/1.1/geo/id/2ae8319c316c6462.json', 'place_type': 'city', 'name': 'São Joaquim', 'full_name': 'São Joaquim, Brasil', 'country_code': 'BR', 'country': 'Brazil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-50.424192, -28.497697], [-50.424192, -28.087302], [-49.671814, -28.087302], [-49.671814, -28.497697]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/mv5oBC7MBq', 'expanded_url': 'https://twitter.com/i/web/status/1505863578716413955', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,low,pt,1647860829415,,,,"{'full_text': 'já perdi muita oportunidades de viver coisas legais por não me permitir…. agora eu olho pra situações e penso: vamos lá ver como vai ser, se der ruim dnv, pelo menos eu tentei kkkkk quando você se priva de algo pra não sofrer, você já está sofrendo..', 'display_text_range': [0, 250], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}}",,,,
7,Mon Mar 21 11:07:10 +0000 2022,1505863582302543874,1505863582302543874,@AnaliseVerdao Não,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,1505529591162716168,1505529591162716168,724374989152116737,724374989152116737,AnaliseVerdao,"{'id': 65710760, 'id_str': '65710760', 'name': 'Fábio Caliani', 'screen_name': 'fabiocaliani', 'location': 'Marilia-sp, Brasil', 'url': 'http://www.ceomarilia.com.br', 'description': 'Palmeirense, Dentista e Conservador', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 418, 'friends_count': 1300, 'listed_count': 0, 'favourites_count': 157009, 'statuses_count': 6661, 'created_at': 'Fri Aug 14 19:16:10 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '9AE4E8', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': '0084B4', 'profile_sidebar_fill_color': '97AEBE', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1046728826334728192/nBoDUBrj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1046728826334728192/nBoDUBrj_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/65710760/1498700849', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '1be8574e65cb9543', 'url': 'https://api.twitter.com/1.1/geo/id/1be8574e65cb9543.json', 'place_type': 'city', 'name': 'Marília', 'full_name': 'Marília, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-50.150258, -22.498124], [-50.150258, -21.875578], [-49.767632, -21.875578], [-49.767632, -22.498124]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'AnaliseVerdao', 'name': 'Análise Verdão', 'id': 724374989152116737, 'id_str': '724374989152116737', 'indices': [0, 14]}], 'symbols': []}",False,False,low,und,1647860830270,"[15, 18]",,,,,,,
8,Mon Mar 21 11:07:10 +0000 2022,1505863583179100160,1505863583179100160,#jigsawHD #puzzletime https://t.co/zP2W538VZX,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False,,,,,,"{'id': 776210609394376704, 'id_str': '776210609394376704', 'name': 'Rogerio do Amaral', 'screen_name': 'rogdoamaral', 'location': 'Florianópolis, Brasil', 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 40, 'friends_count': 799, 'listed_count': 0, 'favourites_count': 32, 'statuses_count': 802, 'created_at': 'Thu Sep 15 00:06:45 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1106554099204583424/SXmD8WIe_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1106554099204583424/SXmD8WIe_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/776210609394376704/1473898752', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '07d9d39338887003', 'url': 'https://api.twitter.com/1.1/geo/id/07d9d39338887003.json', 'place_type': 'poi', 'name': 'Padaria Sabor & Pão', 'full_name': 'Padaria Sabor & Pão', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-48.558256, -27.591061], [-48.558256, -27.591061], [-48.558256, -27.591061], [-48.558256, -27.591061]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [{'text': 'jigsawHD', 'indices': [0, 9]}, {'text': 'puzzletime', 'indices': [10, 21]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1505863576094978049, 'id_str': '1505863576094978049', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/media/FOXm8a1XMAENKAB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FOXm8a1XMAENKAB.jpg', 'url': 'https://t.co/zP2W538VZX', 'display_url': 'pic.twitter.com/zP2W538VZX', 'expanded_url': 'https://twitter.com/rogdoamaral/status/1505863583179100160/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1796, 'h': 1490, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 996, 'resize': 'fit'}, 'small': {'w': 680, 'h': 564, 'resize': 'fit'}}}]}",False,False,low,und,1647860830479,"[0, 21]","{'media': [{'id': 1505863576094978049, 'id_str': '1505863576094978049', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/media/FOXm8a1XMAENKAB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FOXm8a1XMAENKAB.jpg', 'url': 'https://t.co/zP2W538VZX', 'display_url': 'pic.twitter.com/zP2W538VZX', 'expanded_url': 'https://twitter.com/rogdoamaral/status/1505863583179100160/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1796, 'h': 1490, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 996, 'resize': 'fit'}, 'small': {'w': 680, 'h': 564, 'resize': 'fit'}}}]}",False,,,,,
9,Mon Mar 21 11:07:11 +0000 2022,1505863586178023424,1505863586178023424,"Que delícia de tempo, doido pra começar usar meus moletons!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,"{'id': 1083446189524217857, 'id_str': '1083446189524217857', 'name': 'alan', 'screen_name': 'setembrode94', 'location': 'Divinópolis, Brasil', 'url': None, 'description': 'garoto estranho', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 266, 'friends_count': 308, 'listed_count': 1, 'favourites_count': 23344, 'statuses_count': 7153, 'created_at': 'Thu Jan 10 19:31:15 +0000 2019', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1425533980472979459/EYfuG609_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1425533980472979459/EYfuG609_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1083446189524217857/1548297574', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,"{'id': '86c1d1ddfce84a76', 'url': 'https://api.twitter.com/1.1/geo/id/86c1d1ddfce84a76.json', 'place_type': 'city', 'name': 'Divinópolis', 'full_name': 'Divinópolis, Brasil', 'country_code': 'BR', 'country': 'Brasil', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-45.122795, -20.309402], [-45.122795, -19.918364], [-44.750626, -19.918364], [-44.750626, -20.309402]]]}, 'attributes': {}}",,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",False,False,low,pt,1647860831194,,,,,,,,
